Date,Source,Site ID,POC,Daily Mean PM10 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
09/11/2021,AQS,540290009,1,19,ug/m3 SC,18,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/12/2021,AQS,540290009,1,20,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/13/2021,AQS,540290009,1,28,ug/m3 SC,26,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/14/2021,AQS,540290009,1,28,ug/m3 SC,26,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/15/2021,AQS,540290009,1,18,ug/m3 SC,17,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/16/2021,AQS,540290009,1,14,ug/m3 SC,13,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/17/2021,AQS,540290009,1,21,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/18/2021,AQS,540290009,1,21,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/19/2021,AQS,540290009,1,17,ug/m3 SC,16,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/20/2021,AQS,540290009,1,21,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/21/2021,AQS,540290009,1,18,ug/m3 SC,17,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/22/2021,AQS,540290009,1,10,ug/m3 SC,9,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/23/2021,AQS,540290009,1,7,ug/m3 SC,6,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/24/2021,AQS,540290009,1,14,ug/m3 SC,13,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/25/2021,AQS,540290009,1,20,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/26/2021,AQS,540290009,1,18,ug/m3 SC,17,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/27/2021,AQS,540290009,1,22,ug/m3 SC,20,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/28/2021,AQS,540290009,1,22,ug/m3 SC,20,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/29/2021,AQS,540290009,1,11,ug/m3 SC,10,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/30/2021,AQS,540290009,1,9,ug/m3 SC,8,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/01/2021,AQS,540290009,1,14,ug/m3 SC,13,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/02/2021,AQS,540290009,1,20,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/03/2021,AQS,540290009,1,19,ug/m3 SC,18,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/04/2021,AQS,540290009,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/05/2021,AQS,540290009,1,11,ug/m3 SC,10,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/06/2021,AQS,540290009,1,14,ug/m3 SC,13,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/07/2021,AQS,540290009,1,12,ug/m3 SC,11,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/08/2021,AQS,540290009,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/09/2021,AQS,540290009,1,15,ug/m3 SC,14,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/10/2021,AQS,540290009,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/11/2021,AQS,540290009,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/12/2021,AQS,540290009,1,19,ug/m3 SC,18,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/13/2021,AQS,540290009,1,21,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/14/2021,AQS,540290009,1,26,ug/m3 SC,24,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/15/2021,AQS,540290009,1,23,ug/m3 SC,21,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/16/2021,AQS,540290009,1,11,ug/m3 SC,10,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/17/2021,AQS,540290009,1,11,ug/m3 SC,10,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/18/2021,AQS,540290009,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
10/19/2021,AQS,540290009,1,26,ug/m3 SC,24,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
